HOURS,MON,TUE,WED,THU,FRI,SAT,SUN
0,141,93,126,117,183,189,165
1,84,51,57,141,60,144,60
2,45,24,36,45,75,51,54
3,6,18,36,12,21,48,42
4,9,21,15,21,24,39,24
5,3,12,15,24,24,51,27
6,9,21,18,9,27,9,15
7,6,9,9,12,15,9,12
8,63,48,39,63,51,60,24
9,105,147,126,165,135,123,81
10,228,144,141,240,198,108,54
11,201,144,180,213,147,147,126
12,357,357,357,351,354,204,324
13,522,474,639,567,654,645,888
14,480,372,513,612,618,819,660
15,378,255,297,390,444,420,492
16,207,231,255,318,336,294,363
17,222,225,219,243,237,240,387
18,240,180,174,234,219,243,378
19,267,408,432,339,360,420,558
20,768,846,1143,1029,1158,1107,1365
21,993,1197,1170,1230,1638,1566,1392
22,756,702,720,885,987,843,942
23,270,336,231,273,360,342,390
