HOURS,MON,TUE,WED,THU,FRI,SAT,SUN
0,105,87,108,93,114,177,114
1,72,51,72,45,63,99,87
2,30,45,24,51,27,90,45
3,27,24,12,21,6,72,42
4,12,18,3,30,6,36,27
5,18,33,15,12,9,24,30
6,15,9,9,12,12,30,15
7,30,3,15,18,9,36,27
8,57,54,48,45,42,45,30
9,147,126,117,189,174,57,66
10,192,204,177,162,192,75,90
11,183,174,189,183,225,144,96
12,327,324,300,327,339,369,351
13,594,516,546,612,579,801,777
14,489,372,411,537,594,729,810
15,303,252,312,297,378,486,462
16,246,198,246,252,249,381,309
17,249,198,189,228,204,330,276
18,267,168,168,189,246,300,345
19,366,300,360,279,408,474,681
20,792,774,933,948,729,1095,1404
21,1047,1110,1290,1227,786,1176,1487
22,603,669,636,738,546,711,793
23,240,255,216,288,201,405,431
